date,close,start,high,low,volume
2013-07-08,235.12,236.86,238.42,234.11,78.22
2013-07-05,237.28,239.72,241.12,236.56,76.78
2013-07-04,238.56,237.36,238.78,236.64,77
2013-07-03,236.63,240.69,241.68,236.28,78.75
2013-07-02,240.8,241.76,242.61,240.24,88.07
2013-07-01,241.05,240.58,242.69,240.28,55.15
2013-06-28,242.27,240.01,242.68,240,78.92
2013-06-27,238.65,235.19,239.37,235.11,72.36
2013-06-26,231.52,234.26,234.26,230.18,78.19
2013-06-25,231.75,232.25,235.04,230.38,88.86
2013-06-24,233.47,236.33,236.33,233.47,63.14
2013-06-21,236.57,234.23,236.9,234.15,102.44
2013-06-20,240.26,242.08,243.28,239.45,88.98
2013-06-19,245.44,246.94,246.96,244.77,83.45
2013-06-18,247.13,245.44,247.13,243.45,80.88
2013-06-17,244.77,245.43,246.59,244.18,69.77
2013-06-14,245.36,246.21,246.42,244.22,81.82
2013-06-13,244.49,247.76,248.72,244.38,94.95
2013-06-12,248.5,249.16,250.32,248.04,60.17
2013-06-11,250.19,252.29,252.39,248.72,79.08
2013-06-10,252.2,251.49,252.48,251.02,62.72
2013-06-07,251.2,255.51,255.7,251.14,80.46
2013-06-05,256.51,260.57,260.7,256.51,92.67
2013-06-04,260.54,261.45,261.69,259.15,77.54
2013-06-03,260.29,260.48,262.03,260.13,79.71
2013-05-31,261.47,262.46,263.34,261.41,98.23
2013-05-30,261.21,260.7,262.1,260.41,100.36
2013-05-29,260.92,259.64,262.16,259.58,99.14
2013-05-28,258.59,258.63,259.53,257.97,65.65
2013-05-27,258.19,257.41,258.82,256.99,51.96
2013-05-24,257.32,258.13,258.28,255.73,63.87
2013-05-23,256.66,258.96,259.78,256.66,80.11
2013-05-22,260.19,259.7,260.89,259.19,80.62
2013-05-21,258.18,260.31,260.48,257.59,76.26
2013-05-20,258.6,259.51,259.9,258.6,83.86
2013-05-16,258.99,257.94,259.81,257.94,93.76
2013-05-15,256.6,256.56,256.74,255.49,65.48
2013-05-14,256.29,254.09,256.67,253.98,84.23
2013-05-13,253.29,251.46,253.29,251.19,50.98
2013-05-10,252.72,256.94,256.96,252.72,77.9
2013-05-09,257.53,255,257.99,254.77,94.75
2013-05-08,254.02,254.86,255.27,253.47,71.74
2013-05-07,253.84,255.22,255.41,253.61,63.81
2013-05-06,255.2,257.63,258.56,254.96,74.48
2013-05-03,256.02,256.4,256.47,254.5,79.86
2013-05-02,254.92,255.49,256.32,254.52,81.03
2013-04-30,255.72,253.17,256.36,253.13,91.72
2013-04-29,252.25,253.63,253.67,251.55,63.97
2013-04-26,253.04,254.11,254.42,252.79,78.72
2013-04-25,254.49,252.2,254.49,251.97,92.72
2013-04-24,252,251.74,252.65,250.03,89.1
2013-04-23,250.01,251.12,251.16,248.64,58.45
2013-04-22,251.46,248.35,251.46,247.89,59.87
2013-04-19,248.77,247.64,249.41,246.11,67.33
2013-04-18,247.85,250.55,250.93,247.82,77.14
2013-04-17,251.51,253.46,253.61,249.63,104.16
2013-04-16,251.78,248.69,252.61,248.37,102.49
2013-04-15,251.51,250.7,252.6,249.6,85.94
2013-04-12,252,256.81,257.12,251.34,90.87
2013-04-11,256.18,255.4,256.18,253.04,88.42
2013-04-10,254.34,254.4,255.14,252.94,88.09
2013-04-09,252.53,252.44,254.52,250.14,81.65
2013-04-08,252.39,252.85,253.92,251.84,75.74
2013-04-05,252.77,255.4,256.16,251.35,84.37
2013-04-04,257.05,257.57,257.94,254.63,92.19
2013-04-03,260.36,261.32,261.65,258.88,107.59
2013-04-02,260.79,262.37,263.16,259.06,109.19
